OrderID,CustomerID,ProductName,Category,Price,OrderDate,Quantity,City,PaymentMethod,OrderStatus
32,84452,Product_144,Electronics,415.08,2023-11-06,1,San Diego,Debit Card,Shipped
33,28258,Product_177,Home,325.92,2023-01-07,6,Los Angeles,Gift Card,Delivered
34,80812,Product_61,Beauty,304.41,2023-08-01,5,San Jose,PayPal,Shipped
35,57538,Product_348,Beauty,141.0,2023-03-10,3,Houston,Gift Card,Pending
36,63286,Product_246,Electronics,25.64,2023-03-13,5,Chicago,Gift Card,Shipped
37,44254,Product_97,Toys,15.95,2023-11-03,1,San Diego,PayPal,Delivered
38,33871,Product_361,Books,349.79,2023-12-01,8,Chicago,Credit Card,Cancelled
39,69526,Product_311,Home,343.0,2023-03-04,7,New York,Gift Card,Cancelled
40,11220,Product_360,Home,155.32,2023-07-16,3,San Diego,Debit Card,Pending
41,39254,Product_281,Toys,246.7,2023-01-15,3,New York,PayPal,Shipped
42,13601,Product_327,Electronics,320.84,2023-07-18,4,Houston,Gift Card,Delivered
43,29339,Product_330,Toys,339.89,2023-12-08,4,San Diego,Credit Card,Cancelled
44,64838,Product_114,Home,18.89,2023-01-20,3,Philadelphia,Credit Card,Delivered
45,36305,Product_281,Beauty,413.66,2023-03-25,7,Los Angeles,PayPal,Pending
46,27931,Product_407,Clothing,480.26,2023-01-17,1,Philadelphia,Gift Card,Cancelled
47,23502,Product_199,Beauty,307.56,2023-05-21,7,Philadelphia,Credit Card,Delivered
48,26178,Product_142,Electronics,7.17,2023-07-15,9,Chicago,PayPal,Returned
49,22609,Product_108,Books,253.21,2023-06-19,6,Houston,PayPal,Returned
50,94870,Product_222,Electronics,346.73,2023-10-01,1,San Diego,Gift Card,Delivered
51,76898,Product_473,Beauty,179.46,2023-04-18,1,San Jose,Credit Card,Cancelled
52,81071,Product_499,Beauty,476.91,2023-05-25,4,Philadelphia,Gift Card,Cancelled
53,27882,Product_61,Sports,276.84,2023-11-12,8,Chicago,Debit Card,Shipped
54,81208,Product_132,Books,443.86,2023-01-29,3,San Antonio,Gift Card,Shipped
55,32848,Product_397,Home,231.2,2023-02-05,7,San Antonio,Debit Card,Returned
56,24529,Product_36,Home,160.55,2023-09-22,5,San Antonio,Gift Card,Shipped
57,33950,Product_314,Beauty,196.88,2023-10-30,8,Phoenix,PayPal,Pending
58,73825,Product_53,Books,240.72,2023-11-03,4,New York,Gift Card,Delivered
59,81048,Product_401,Electronics,108.05,2023-02-21,4,Chicago,Gift Card,Returned
60,66509,Product_266,Clothing,270.16,2023-05-05,7,Dallas,Gift Card,Delivered
61,27367,Product_348,Sports,173.63,2023-05-20,9,New York,PayPal,Cancelled
62,13878,Product_31,Electronics,322.46,2023-06-12,8,San Jose,PayPal,Cancelled
63,55474,Product_31,Sports,92.77,2023-02-18,10,Phoenix,Credit Card,Shipped
64,97173,Product_452,Sports,199.92,2023-10-07,4,New York,PayPal,Returned
65,75561,Product_257,Sports,350.8,2023-03-12,7,Houston,PayPal,Shipped
66,92438,Product_82,Electronics,310.08,2023-07-03,2,San Jose,Credit Card,Pending
67,79397,Product_148,Clothing,478.46,2023-09-18,3,Los Angeles,Gift Card,Cancelled
68,82309,Product_483,Toys,99.57,2023-07-30,6,San Antonio,Debit Card,Returned
69,42065,Product_286,Toys,313.59,2023-01-17,5,Phoenix,PayPal,Shipped
70,70317,Product_63,Books,132.52,2023-04-16,6,Dallas,PayPal,Delivered
71,76381,Product_391,Home,220.35,2023-09-05,10,Dallas,Debit Card,Pending
72,64586,Product_324,Electronics,377.17,2023-08-12,10,Philadelphia,Debit Card,Cancelled
73,26966,Product_15,Clothing,154.29,2023-01-17,8,Houston,PayPal,Returned
74,59124,Product_341,Electronics,445.02,2023-04-05,5,Los Angeles,PayPal,Returned
75,41443,Product_35,Sports,460.73,2023-04-26,10,San Diego,Gift Card,Cancelled
76,24816,Product_159,Home,45.11,2023-03-30,10,Philadelphia,Credit Card,Pending
77,79981,Product_254,Clothing,436.83,2023-12-17,10,Chicago,PayPal,Shipped
78,61037,Product_96,Beauty,404.63,2023-02-22,8,San Diego,Credit Card,Cancelled
79,46903,Product_189,Electronics,387.68,2023-10-19,3,Dallas,Debit Card,Delivered
80,53395,Product_499,Sports,217.9,2023-08-11,8,Dallas,Credit Card,Pending
81,36142,Product_257,Books,108.48,2023-02-11,6,Phoenix,Gift Card,Cancelled
82,30396,Product_367,Home,270.21,2023-12-30,9,Dallas,Debit Card,Cancelled
83,43325,Product_223,Home,125.66,2023-08-01,8,Dallas,Gift Card,Delivered
84,76061,Product_412,Clothing,203.88,2023-02-13,7,Chicago,Credit Card,Returned
85,81914,Product_41,Home,115.82,2023-12-26,3,Dallas,PayPal,Pending
86,98601,Product_68,Toys,82.06,2023-03-17,4,New York,Gift Card,Cancelled
87,68821,Product_332,Beauty,387.31,2023-08-23,9,Chicago,PayPal,Pending
88,31373,Product_438,Clothing,406.39,2023-02-20,6,Philadelphia,PayPal,Pending
89,59529,Product_260,Sports,326.29,2023-06-15,7,Philadelphia,Gift Card,Cancelled
90,86155,Product_355,Clothing,102.47,2023-10-04,2,New York,Gift Card,Shipped
91,36625,Product_119,Books,391.79,2023-11-08,3,Chicago,Gift Card,Returned
92,99935,Product_85,Sports,319.13,2023-07-31,4,San Jose,Debit Card,Cancelled
93,66936,Product_332,Toys,243.0,2023-08-04,10,Philadelphia,Debit Card,Cancelled
94,15896,Product_283,Clothing,309.92,2023-09-30,1,Philadelphia,Gift Card,Pending
95,70289,Product_107,Sports,152.08,2023-05-14,7,San Antonio,PayPal,Delivered
96,29962,Product_223,Books,167.1,2023-05-02,3,New York,PayPal,Cancelled
97,82683,Product_334,Electronics,463.05,2023-09-17,1,Los Angeles,Gift Card,Pending
98,48641,Product_328,Home,72.95,2023-11-20,9,Philadelphia,Debit Card,Pending
99,41302,Product_219,Electronics,381.04,2023-09-15,7,San Jose,PayPal,Returned
100,48171,Product_226,Beauty,80.68,2023-06-22,6,Philadelphia,Gift Card,Pending
101,77307,Product_399,Toys,385.72,2023-11-07,9,Dallas,PayPal,Delivered
102,53910,Product_369,Sports,205.42,2023-02-22,3,San Jose,PayPal,Pending
103,75408,Product_287,Electronics,32.07,2023-04-16,9,Chicago,Credit Card,Returned
104,32064,Product_445,Clothing,44.36,2023-09-25,6,San Antonio,Gift Card,Returned
105,57616,Product_398,Books,420.83,2023-11-11,7,San Diego,Gift Card,Delivered
106,70071,Product_65,Beauty,105.85,2023-06-23,9,Philadelphia,Debit Card,Returned
107,91311,Product_314,Home,241.45,2023-03-25,5,Phoenix,Debit Card,Returned
108,92356,Product_435,Sports,389.32,2023-08-15,1,Dallas,Debit Card,Returned
109,85031,Product_375,Clothing,398.86,2023-02-23,3,San Diego,Debit Card,Pending
110,63183,Product_423,Toys,99.36,2023-12-30,5,New York,Debit Card,Cancelled
111,49392,Product_60,Books,356.08,2023-05-07,2,Houston,Debit Card,Cancelled
112,91865,Product_90,Beauty,218.45,2023-06-14,5,Chicago,Debit Card,Cancelled
113,61940,Product_469,Electronics,471.08,2023-05-11,6,San Jose,Credit Card,Returned
114,43546,Product_467,Beauty,168.96,2023-01-27,4,San Antonio,Gift Card,Cancelled
115,89261,Product_18,Electronics,188.71,2023-04-28,2,San Diego,Debit Card,Pending
116,36520,Product_343,Electronics,498.49,2023-03-16,9,Dallas,PayPal,Returned
117,43685,Product_399,Electronics,168.13,2023-01-14,10,Philadelphia,Credit Card,Returned
118,19304,Product_4,Electronics,40.75,2023-03-18,5,Houston,Gift Card,Shipped
119,93986,Product_364,Beauty,399.19,2023-04-16,9,Houston,Credit Card,Pending
120,44016,Product_137,Books,345.54,2023-05-22,7,San Jose,Credit Card,Shipped
121,54305,Product_336,Beauty,401.83,2023-01-15,8,Houston,Gift Card,Pending
122,71024,Product_79,Home,358.12,2023-12-16,1,San Diego,PayPal,Cancelled
123,16909,Product_303,Electronics,69.15,2023-01-05,7,San Antonio,Gift Card,Returned
124,48070,Product_10,Home,244.99,2023-11-15,7,New York,Credit Card,Returned
125,43998,Product_142,Beauty,493.1,2023-08-12,2,San Antonio,PayPal,Returned
126,61609,Product_46,Home,452.55,2023-09-05,7,New York,PayPal,Cancelled
127,84520,Product_425,Toys,395.99,2023-07-30,4,Phoenix,PayPal,Shipped
128,77957,Product_389,Beauty,122.4,2023-06-01,7,Chicago,Gift Card,Cancelled
129,33099,Product_96,Sports,329.62,2023-09-16,10,Houston,PayPal,Returned
130,77971,Product_137,Toys,354.94,2023-02-25,9,Philadelphia,Credit Card,Cancelled
131,21449,Product_383,Beauty,85.84,2023-06-19,9,San Jose,Credit Card,Cancelled
132,11946,Product_364,Toys,462.93,2023-04-29,5,San Antonio,Debit Card,Pending
133,21999,Product_340,Electronics,295.43,2023-01-16,10,Los Angeles,Credit Card,Shipped
134,30913,Product_66,Beauty,369.18,2023-08-10,3,New York,Debit Card,Delivered
135,97780,Product_149,Sports,22.26,2023-07-25,9,San Antonio,Gift Card,Shipped
136,72071,Product_114,Beauty,210.96,2023-02-23,5,New York,Debit Card,Returned
137,25936,Product_232,Home,226.59,2023-04-07,10,Los Angeles,Credit Card,Shipped
138,46298,Product_47,Beauty,323.37,2023-10-28,1,San Jose,Debit Card,Shipped
139,28031,Product_92,Electronics,224.69,2023-01-16,7,San Antonio,Credit Card,Cancelled
140,98510,Product_99,Toys,425.28,2023-08-05,4,Philadelphia,Credit Card,Pending
141,41877,Product_241,Clothing,443.81,2023-02-06,6,San Jose,PayPal,Delivered
142,48246,Product_356,Sports,173.6,2023-02-19,6,Dallas,Debit Card,Cancelled
143,41211,Product_166,Toys,193.77,2023-11-27,7,Phoenix,Debit Card,Cancelled
144,22099,Product_355,Home,402.31,2023-02-14,6,Los Angeles,Debit Card,Shipped
145,14931,Product_139,Beauty,436.18,2023-08-02,7,Philadelphia,Gift Card,Cancelled
146,14461,Product_320,Beauty,158.62,2023-11-09,9,San Antonio,Credit Card,Pending
147,37935,Product_206,Books,66.31,2023-04-24,6,Los Angeles,Debit Card,Delivered
148,59188,Product_396,Toys,460.44,2023-05-16,6,San Jose,Credit Card,Delivered
149,10398,Product_19,Clothing,250.6,2023-02-28,8,Chicago,Credit Card,Shipped
150,51605,Product_267,Electronics,329.52,2023-06-29,1,San Antonio,Debit Card,Cancelled
151,69556,Product_145,Electronics,453.45,2023-10-23,3,San Antonio,Gift Card,Shipped
152,27605,Product_354,Home,181.73,2023-09-19,6,Chicago,Credit Card,Returned
153,17704,Product_102,Clothing,346.16,2023-12-12,1,San Jose,Gift Card,Delivered
154,45190,Product_303,Toys,181.23,2023-02-26,10,San Jose,PayPal,Returned
155,79828,Product_174,Home,278.94,2023-09-20,5,San Antonio,Credit Card,Pending
156,15385,Product_234,Sports,275.1,2023-02-14,9,Houston,Gift Card,Pending
157,72356,Product_371,Beauty,257.41,2023-10-25,7,San Diego,Credit Card,Delivered
158,72142,Product_389,Clothing,261.92,2023-02-04,6,San Diego,Gift Card,Pending
159,65469,Product_403,Toys,288.17,2023-03-04,6,San Diego,Gift Card,Cancelled
160,37247,Product_434,Sports,256.62,2023-11-03,2,San Diego,PayPal,Pending
161,97687,Product_423,Sports,412.96,2023-02-26,5,Los Angeles,Gift Card,Delivered
162,32400,Product_464,Beauty,192.89,2023-09-25,10,New York,Credit Card,Returned
163,41734,Product_379,Sports,414.36,2023-09-17,5,San Antonio,PayPal,Cancelled
164,81220,Product_11,Beauty,424.49,2023-05-21,5,Chicago,PayPal,Shipped
165,44197,Product_348,Sports,92.95,2023-04-14,4,Dallas,PayPal,Shipped
166,15467,Product_454,Electronics,355.77,2023-08-16,9,Philadelphia,Credit Card,Shipped
167,82303,Product_80,Books,126.01,2023-12-27,2,San Jose,Gift Card,Shipped
168,52508,Product_406,Home,79.27,2023-03-03,9,San Diego,Debit Card,Returned
169,94168,Product_84,Books,94.12,2023-06-01,8,Phoenix,Gift Card,Shipped
170,83262,Product_262,Books,345.51,2023-12-26,5,Chicago,Gift Card,Delivered
171,78008,Product_87,Clothing,76.6,2023-03-19,1,San Diego,Debit Card,Returned
172,30660,Product_28,Clothing,456.56,2023-06-19,7,San Jose,Gift Card,Delivered
173,10398,Product_130,Electronics,302.72,2023-07-02,7,Philadelphia,Credit Card,Returned
174,82886,Product_234,Toys,39.88,2023-08-30,8,Los Angeles,Credit Card,Pending
175,65519,Product_177,Electronics,299.76,2023-05-13,10,Philadelphia,Credit Card,Cancelled
176,79606,Product_464,Clothing,381.89,2023-04-10,10,San Diego,Credit Card,Shipped
177,82679,Product_247,Electronics,247.07,2023-08-02,6,Phoenix,Debit Card,Pending
178,59262,Product_435,Electronics,101.66,2023-07-21,6,Houston,Gift Card,Returned
179,66427,Product_327,Books,48.59,2023-03-23,5,San Diego,Credit Card,Delivered
180,55290,Product_275,Home,109.19,2023-04-19,2,San Antonio,Debit Card,Shipped
181,84037,Product_162,Books,178.46,2023-07-13,10,Dallas,Gift Card,Pending
182,69642,Product_471,Beauty,343.83,2023-04-17,5,Chicago,Gift Card,Pending
183,60002,Product_252,Books,405.69,2023-08-06,5,New York,Credit Card,Cancelled
184,13368,Product_406,Books,302.75,2023-01-25,3,Philadelphia,Gift Card,Pending
185,51633,Product_66,Toys,472.26,2023-12-23,5,Dallas,Gift Card,Pending
186,56992,Product_165,Clothing,442.82,2023-10-08,4,San Jose,Credit Card,Delivered
187,51473,Product_493,Home,132.01,2023-04-28,9,Houston,PayPal,Returned
188,27931,Product_444,Toys,380.82,2023-11-09,6,San Antonio,Debit Card,Shipped
189,23858,Product_380,Books,378.1,2023-01-14,2,Los Angeles,Credit Card,Shipped
190,47187,Product_451,Toys,462.67,2023-10-14,5,San Antonio,Gift Card,Shipped
191,89220,Product_294,Home,434.75,2023-05-28,10,San Jose,Credit Card,Shipped
192,50394,Product_337,Sports,411.14,2023-09-18,3,Chicago,Credit Card,Returned
193,27212,Product_77,Clothing,158.69,2023-04-07,8,Chicago,Debit Card,Shipped
194,50918,Product_306,Beauty,212.09,2023-02-20,3,Chicago,Credit Card,Pending
195,10872,Product_216,Home,181.74,2023-10-08,5,Philadelphia,PayPal,Returned
196,93112,Product_55,Sports,102.7,2023-03-22,8,Philadelphia,Debit Card,Returned
197,53428,Product_387,Toys,202.48,2023-11-13,8,Chicago,PayPal,Returned
198,11270,Product_282,Electronics,91.78,2023-09-06,3,Philadelphia,Gift Card,Delivered
199,21718,Product_475,Toys,358.44,2023-10-04,3,Los Angeles,Credit Card,Pending
200,71673,Product_140,Beauty,278.2,2023-03-18,3,Houston,Debit Card,Pending
201,95638,Product_52,Home,130.81,2023-11-21,6,Los Angeles,Debit Card,Cancelled
202,14806,Product_169,Beauty,143.92,2023-01-20,1,Phoenix,Credit Card,Returned
203,75125,Product_33,Beauty,259.22,2023-08-11,9,Dallas,Gift Card,Delivered
204,25141,Product_301,Home,405.67,2023-03-13,2,San Diego,Credit Card,Pending
205,70979,Product_274,Beauty,66.33,2023-01-06,8,Houston,Credit Card,Delivered
206,98427,Product_46,Books,29.15,2023-02-08,3,Houston,Debit Card,Pending
207,89961,Product_351,Electronics,186.68,2023-07-05,6,New York,Credit Card,Returned
208,57137,Product_431,Toys,400.73,2023-03-03,3,New York,Credit Card,Delivered
209,98875,Product_446,Clothing,40.1,2023-11-03,9,Los Angeles,PayPal,Pending
210,85859,Product_395,Clothing,350.41,2023-01-14,5,Los Angeles,PayPal,Delivered
211,27692,Product_1,Clothing,481.1,2023-05-10,8,Los Angeles,Gift Card,Cancelled
212,11067,Product_257,Toys,390.59,2023-03-20,8,Chicago,PayPal,Delivered
213,68549,Product_23,Electronics,319.02,2023-09-01,7,San Antonio,Gift Card,Shipped
214,35808,Product_406,Beauty,359.18,2023-06-29,3,Houston,Gift Card,Cancelled
215,83133,Product_16,Toys,256.52,2023-07-02,7,New York,PayPal,Pending
216,65997,Product_308,Clothing,51.9,2023-12-06,7,Chicago,Credit Card,Pending
217,65096,Product_274,Clothing,408.22,2023-03-14,2,Philadelphia,Gift Card,Cancelled
218,30579,Product_314,Toys,405.45,2023-09-19,1,Houston,Credit Card,Pending
219,46406,Product_326,Beauty,231.17,2023-03-31,2,San Jose,Credit Card,Cancelled
220,86150,Product_356,Toys,120.33,2023-05-20,8,San Jose,Debit Card,Pending
221,50720,Product_453,Beauty,87.33,2023-09-19,10,Dallas,Credit Card,Shipped
222,92288,Product_459,Home,105.53,2023-06-19,1,Phoenix,PayPal,Returned
223,86222,Product_301,Home,426.74,2023-07-18,9,Philadelphia,Credit Card,Pending
224,83747,Product_168,Books,102.92,2023-09-30,10,San Jose,Credit Card,Shipped
225,12078,Product_422,Clothing,470.11,2023-07-18,4,San Jose,Credit Card,Shipped
226,84981,Product_298,Toys,79.41,2023-04-24,10,San Jose,Credit Card,Delivered
227,79701,Product_143,Sports,365.3,2023-07-10,2,Houston,Gift Card,Delivered
228,10002,Product_135,Toys,67.57,2023-07-18,5,Houston,Debit Card,Delivered
229,46945,Product_467,Books,296.55,2023-11-11,6,Los Angeles,Gift Card,Cancelled
230,14396,Product_289,Beauty,407.31,2023-03-25,8,Chicago,PayPal,Cancelled
231,99614,Product_193,Sports,163.91,2023-05-23,8,San Diego,Credit Card,Cancelled
232,87961,Product_394,Books,458.43,2023-02-09,9,Houston,Credit Card,Delivered
233,72760,Product_435,Books,87.23,2023-01-10,1,San Antonio,PayPal,Cancelled
234,32729,Product_26,Toys,175.42,2023-08-10,1,San Jose,PayPal,Returned
235,97087,Product_495,Electronics,111.5,2023-05-21,9,Dallas,Gift Card,Cancelled
236,27578,Product_468,Beauty,186.55,2023-02-05,4,Chicago,Credit Card,Pending
237,55574,Product_389,Books,220.6,2023-05-26,3,Dallas,Debit Card,Cancelled
238,92235,Product_175,Clothing,152.11,2023-02-07,8,San Antonio,Gift Card,Cancelled
239,13154,Product_167,Toys,241.95,2023-07-17,1,Philadelphia,Debit Card,Cancelled
240,91020,Product_120,Clothing,93.95,2023-11-28,9,Chicago,PayPal,Cancelled
241,19229,Product_24,Books,95.23,2023-11-21,6,San Antonio,PayPal,Shipped
242,15610,Product_422,Clothing,336.4,2023-11-30,6,New York,PayPal,Cancelled
243,71041,Product_76,Books,272.44,2023-09-25,9,San Diego,Credit Card,Delivered
244,41080,Product_197,Clothing,182.51,2023-03-06,4,Dallas,Gift Card,Shipped
245,69699,Product_151,Electronics,401.45,2023-05-20,4,Phoenix,Credit Card,Cancelled
246,99053,Product_454,Electronics,45.15,2023-04-11,1,Los Angeles,PayPal,Returned
247,63110,Product_411,Home,56.89,2023-09-15,7,San Diego,Debit Card,Pending
248,66598,Product_476,Home,23.94,2023-08-11,7,San Diego,Debit Card,Returned
249,34427,Product_192,Beauty,164.86,2023-01-07,5,San Diego,Debit Card,Returned
250,43218,Product_4,Books,158.07,2023-11-06,3,Phoenix,PayPal,Shipped
251,68388,Product_24,Home,157.09,2023-09-16,4,New York,PayPal,Returned
252,44739,Product_138,Toys,193.56,2023-01-03,3,New York,Debit Card,Returned
253,23832,Product_290,Toys,114.92,2023-06-01,9,San Jose,Gift Card,Shipped
254,90276,Product_129,Beauty,225.73,2023-11-27,2,San Diego,PayPal,Shipped
255,74113,Product_293,Toys,384.73,2023-01-24,1,Philadelphia,Credit Card,Shipped
256,65733,Product_114,Sports,19.47,2023-02-27,6,Chicago,Debit Card,Returned
257,85960,Product_68,Sports,300.97,2023-02-13,2,San Jose,Credit Card,Returned
258,27403,Product_325,Electronics,216.48,2023-03-20,3,Los Angeles,Gift Card,Pending
259,25285,Product_106,Toys,465.94,2023-07-08,8,Houston,Debit Card,Shipped
260,94058,Product_248,Sports,432.25,2023-05-26,4,Los Angeles,Debit Card,Pending
261,98043,Product_476,Sports,180.96,2023-08-27,10,Philadelphia,Gift Card,Delivered
262,92374,Product_63,Beauty,312.62,2023-02-13,9,Chicago,Credit Card,Cancelled
263,12595,Product_321,Sports,234.74,2023-03-12,8,Houston,PayPal,Pending
264,17267,Product_288,Sports,41.78,2023-06-13,5,San Jose,Debit Card,Cancelled
265,28451,Product_500,Books,138.38,2023-01-10,8,Houston,Gift Card,Pending
266,46339,Product_121,Books,495.24,2023-10-29,6,Houston,PayPal,Pending
267,47902,Product_153,Books,195.84,2023-07-14,9,Dallas,Debit Card,Returned
268,78449,Product_418,Clothing,120.24,2023-10-10,9,Los Angeles,Credit Card,Delivered
269,52015,Product_442,Beauty,189.31,2023-03-15,7,Los Angeles,PayPal,Returned
270,13370,Product_106,Beauty,107.92,2023-12-18,2,San Jose,Gift Card,Cancelled
271,73103,Product_75,Clothing,75.06,2023-03-11,9,Dallas,Gift Card,Cancelled
272,52571,Product_497,Toys,12.88,2023-01-11,1,Chicago,PayPal,Returned
273,10220,Product_395,Clothing,369.13,2023-08-23,7,Houston,Credit Card,Returned
274,60361,Product_129,Electronics,405.92,2023-12-07,2,Phoenix,PayPal,Shipped
275,90274,Product_173,Toys,424.57,2023-05-13,10,Chicago,PayPal,Delivered
276,63102,Product_362,Clothing,424.32,2023-05-09,2,Philadelphia,Debit Card,Pending
277,71176,Product_370,Beauty,295.7,2023-02-01,1,San Antonio,Gift Card,Delivered
278,92304,Product_265,Books,150.25,2023-09-29,3,San Diego,Debit Card,Pending
279,34131,Product_333,Sports,177.87,2023-07-29,4,New York,Gift Card,Delivered
280,33146,Product_176,Toys,69.92,2023-02-24,5,Houston,Credit Card,Shipped
281,13945,Product_178,Electronics,412.48,2023-09-25,8,Dallas,Debit Card,Cancelled
282,96498,Product_189,Electronics,382.97,2023-03-11,6,Los Angeles,Debit Card,Pending
283,60886,Product_323,Books,303.31,2023-04-08,2,New York,Credit Card,Delivered
284,47367,Product_472,Sports,205.65,2023-07-18,9,Los Angeles,PayPal,Delivered
285,20938,Product_212,Home,127.19,2023-07-31,7,New York,Debit Card,Pending
286,63142,Product_147,Clothing,413.13,2023-01-04,5,Chicago,Debit Card,Returned
287,54788,Product_395,Toys,291.96,2023-06-04,3,Philadelphia,Debit Card,Delivered
288,39537,Product_463,Sports,181.36,2023-09-04,6,Philadelphia,Gift Card,Pending
289,44045,Product_462,Toys,306.52,2023-08-05,1,Dallas,Credit Card,Returned
290,82730,Product_295,Clothing,151.25,2023-09-25,8,Dallas,Debit Card,Pending
291,67676,Product_163,Home,149.47,2023-11-03,5,New York,Credit Card,Delivered
292,84760,Product_94,Beauty,171.18,2023-01-05,5,Phoenix,Gift Card,Cancelled
293,30803,Product_189,Toys,229.43,2023-06-05,3,Dallas,Credit Card,Cancelled
294,18335,Product_117,Toys,9.5,2023-07-28,2,San Diego,Debit Card,Cancelled
295,74417,Product_270,Toys,301.92,2023-11-28,1,Chicago,Debit Card,Cancelled
296,22117,Product_400,Toys,441.28,2023-04-04,2,San Diego,Credit Card,Cancelled
297,25521,Product_184,Clothing,110.56,2023-08-24,9,San Jose,Gift Card,Delivered
298,24729,Product_478,Clothing,39.24,2023-04-19,3,Dallas,Credit Card,Delivered
299,44749,Product_454,Clothing,145.48,2023-09-30,6,San Antonio,Debit Card,Cancelled
300,30668,Product_201,Toys,357.25,2023-03-19,3,Houston,PayPal,Pending
301,97377,Product_90,Toys,117.01,2023-12-01,5,San Jose,Debit Card,Returned
302,35923,Product_349,Clothing,463.23,2023-04-25,8,San Diego,PayPal,Pending
303,76398,Product_446,Electronics,96.17,2023-09-07,2,San Jose,PayPal,Cancelled
304,82573,Product_229,Beauty,12.85,2023-06-04,6,Phoenix,Credit Card,Pending
305,52159,Product_457,Home,357.92,2023-05-08,3,Phoenix,PayPal,Delivered
306,45025,Product_440,Beauty,261.14,2023-09-12,1,Phoenix,Debit Card,Delivered
307,99323,Product_444,Books,99.18,2023-08-21,6,Philadelphia,Gift Card,Pending
308,39941,Product_339,Beauty,410.38,2023-02-01,9,Phoenix,PayPal,Shipped
309,57437,Product_414,Home,372.62,2023-06-09,4,New York,Credit Card,Cancelled
310,35884,Product_45,Clothing,334.01,2023-06-12,5,Phoenix,Credit Card,Pending
311,74411,Product_256,Clothing,311.29,2023-04-28,2,San Jose,Credit Card,Shipped
312,83803,Product_163,Sports,282.33,2023-01-04,10,Philadelphia,Credit Card,Pending
313,29464,Product_475,Beauty,466.68,2023-03-26,4,Phoenix,Gift Card,Delivered
314,23048,Product_351,Beauty,61.97,2023-03-08,9,Dallas,Debit Card,Cancelled
315,93836,Product_295,Sports,386.55,2023-09-16,8,Los Angeles,Credit Card,Cancelled
316,68439,Product_161,Toys,145.52,2023-12-21,5,San Jose,Debit Card,Cancelled
317,12171,Product_397,Toys,123.59,2023-03-27,8,San Diego,Credit Card,Shipped
318,40606,Product_377,Clothing,269.94,2023-08-10,3,San Antonio,Credit Card,Pending
319,14258,Product_273,Home,334.99,2023-04-22,3,San Antonio,Debit Card,Pending
320,11976,Product_296,Books,242.46,2023-03-12,9,Chicago,PayPal,Shipped
321,37360,Product_25,Home,273.79,2023-10-13,6,Chicago,PayPal,Returned
322,45493,Product_187,Books,397.05,2023-09-21,4,San Antonio,PayPal,Pending
